case,case_name,h,t,y_hif_euler,y_o2_euler,y_p300_euler,y_p53_euler,y_casp_euler,y_kp_euler,y_hif_ref,y_o2_ref,y_p300_ref,y_p53_ref,y_casp_ref,y_kp_ref,abs_err_hif,abs_err_o2,abs_err_p300,abs_err_p53,abs_err_casp,abs_err_kp
1,Base IC (y_hif=1) constant a12,0.01,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1,Base IC (y_hif=1) constant a12,0.01,25.0,0.5419,2.6647,0.4707,0.4576,1.2737,0.5705,0.5420,2.6645,0.4706,0.4576,1.2735,0.5706,8.9901e-05,2.4488e-04,9.2064e-05,1.3842e-05,1.9434e-04,7.5918e-05
1,Base IC (y_hif=1) constant a12,0.01,50.0,0.5038,2.8408,0.5771,0.4940,1.4709,0.5267,0.5038,2.8407,0.5771,0.4940,1.4708,0.5267,1.4876e-05,7.9543e-05,8.7049e-06,2.8242e-05,9.3918e-05,1.5245e-05
1,Base IC (y_hif=1) constant a12,0.01,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,2.2352e-05,3.0327e-05,2.5849e-05,1.3796e-05,3.4699e-05,1.8113e-05
2,Zero IC constant a12,0.01,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2,Zero IC constant a12,0.01,25.0,0.5391,2.6781,0.4801,0.4576,1.2736,0.5739,0.5392,2.6779,0.4800,0.4575,1.2735,0.5740,8.8036e-05,2.2018e-04,9.9241e-05,5.8345e-05,1.4965e-04,6.8417e-05
2,Zero IC constant a12,0.01,50.0,0.5036,2.8419,0.5783,0.4940,1.4709,0.5269,0.5036,2.8419,0.5783,0.4940,1.4708,0.5269,3.6132e-05,4.8217e-05,4.9770e-05,1.1874e-05,6.5387e-05,3.0211e-05
2,Zero IC constant a12,0.01,100.0,0.4991,2.8647,0.5978,0.4970,1.4968,0.5219,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,2.6098e-05,5.0445e-05,3.4984e-06,1.3341e-05,3.6166e-05,2.2589e-05
3,Base IC a12*exp(-0.1t),0.01,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
3,Base IC a12*exp(-0.1t),0.01,25.0,0.5419,2.6647,0.4707,0.4576,0.5610,1.1740,0.5392,2.6779,0.4800,0.4575,0.5608,1.1832,2.7101e-03,1.3155e-02,9.3079e-03,1.1384e-04,1.6617e-04,9.1654e-03
3,Base IC a12*exp(-0.1t),0.01,50.0,0.5038,2.8408,0.5771,0.4940,0.5113,1.3828,0.5036,2.8419,0.5783,0.4940,0.5112,1.3837,1.8512e-04,1.1205e-03,1.1913e-03,2.8242e-05,9.6333e-05,8.8220e-04
3,Base IC a12*exp(-0.1t),0.01,100.0,0.4991,2.8646,0.5978,0.4970,0.4973,1.4390,0.4991,2.8646,0.5978,0.4970,0.4973,1.4390,2.2352e-05,3.0327e-05,2.5849e-05,1.3796e-05,3.6207e-05,1.4469e-05
1,Base IC (y_hif=1) constant a12,0.1,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1,Base IC (y_hif=1) constant a12,0.1,25.0,0.5415,2.6667,0.4714,0.4581,1.2753,0.5702,0.5420,2.6645,0.4706,0.4576,1.2735,0.5706,5.3498e-04,2.1750e-03,8.1624e-04,4.7171e-04,1.8133e-03,3.6881e-04
1,Base IC (y_hif=1) constant a12,0.1,50.0,0.5037,2.8412,0.5774,0.4941,1.4713,0.5266,0.5038,2.8407,0.5771,0.4940,1.4708,0.5267,9.0571e-05,4.5217e-04,2.8460e-04,9.9852e-05,5.4262e-04,1.0694e-04
1,Base IC (y_hif=1) constant a12,0.1,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,2.4844e-05,4.3345e-05,1.2992e-05,1.4540e-05,2.4364e-05,1.6914e-05
2,Zero IC constant a12,0.1,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2,Zero IC constant a12,0.1,25.0,0.5387,2.6799,0.4808,0.4580,1.2753,0.5736,0.5392,2.6779,0.4800,0.4575,1.2735,0.5740,4.9204e-04,1.9632e-03,7.9145e-04,5.1593e-04,1.7683e-03,4.2088e-04
2,Zero IC constant a12,0.1,50.0,0.5035,2.8423,0.5786,0.4941,1.4713,0.5268,0.5036,2.8419,0.5783,0.4940,1.4708,0.5269,1.0887e-04,4.0547e-04,3.1070e-04,8.3574e-05,5.1409e-04,6.4695e-05
2,Zero IC constant a12,0.1,100.0,0.4991,2.8647,0.5978,0.4970,1.4968,0.5219,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219,2.8491e-05,6.2928e-05,8.7675e-06,1.4095e-05,2.5804e-05,2.1275e-05
3,Base IC a12*exp(-0.1t),0.1,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
3,Base IC a12*exp(-0.1t),0.1,25.0,0.5415,2.6667,0.4714,0.4581,0.5624,1.1723,0.5392,2.6779,0.4800,0.4575,0.5608,1.1832,2.2650e-03,1.1225e-02,8.5838e-03,5.7171e-04,1.5532e-03,1.0921e-02
3,Base IC a12*exp(-0.1t),0.1,50.0,0.5037,2.8412,0.5774,0.4941,0.5115,1.3824,0.5036,2.8419,0.5783,0.4940,0.5112,1.3837,1.0943e-04,7.4783e-04,9.1540e-04,9.9852e-05,3.1763e-04,1.2772e-03
3,Base IC a12*exp(-0.1t),0.1,100.0,0.4991,2.8646,0.5978,0.4970,0.4973,1.4390,0.4991,2.8646,0.5978,0.4970,0.4973,1.4390,2.4844e-05,4.3345e-05,1.2992e-05,1.4540e-05,3.3969e-05,1.3061e-05
