t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0000,1.682475,0.891207,0.051457,0.047580,0.097502,0.110740
2.0000,1.622676,1.043219,0.087903,0.090629,0.190031,0.276821
3.0000,1.472561,1.137860,0.116197,0.129575,0.277649,0.419093
4.0000,1.320256,1.243068,0.140367,0.164807,0.360453,0.526302
5.0000,1.182656,1.359169,0.162506,0.196679,0.438564,0.599468
6.0000,1.065130,1.481106,0.183653,0.225509,0.512126,0.644280
7.0000,0.968098,1.603745,0.204261,0.251586,0.581295,0.667993
8.0000,0.889464,1.722836,0.224466,0.275172,0.646242,0.677433
9.0000,0.826211,1.835356,0.244259,0.296503,0.707141,0.678017
10.0000,0.775322,1.939496,0.263571,0.315794,0.764175,0.673555
11.0000,0.734183,2.034446,0.282325,0.333239,0.817526,0.666479
12.0000,0.700685,2.120106,0.300451,0.349014,0.867378,0.658225
13.0000,0.673178,2.196836,0.317892,0.363277,0.913914,0.649583
14.0000,0.650395,2.265251,0.334610,0.376173,0.957310,0.640968
15.0000,0.631364,2.326088,0.350583,0.387832,0.997744,0.632587
16.0000,0.615337,2.380116,0.365799,0.398372,1.035384,0.624544
17.0000,0.601739,2.428086,0.380257,0.407900,1.070395,0.616891
18.0000,0.590118,2.470700,0.393966,0.416513,1.102937,0.609652
19.0000,0.580123,2.508594,0.406940,0.424297,1.133160,0.602837
20.0000,0.571474,2.542343,0.419198,0.431333,1.161211,0.596449
21.0000,0.563949,2.572449,0.430762,0.437692,1.187230,0.590482
22.0000,0.557367,2.599359,0.441658,0.443438,1.211347,0.584924
23.0000,0.551584,2.623458,0.451913,0.448631,1.233689,0.579763
24.0000,0.546481,2.645085,0.461555,0.453323,1.254374,0.574980
25.0000,0.541960,2.664530,0.470612,0.457563,1.273515,0.570557
26.0000,0.537940,2.682050,0.479113,0.461394,1.291218,0.566473
27.0000,0.534355,2.697864,0.487086,0.464855,1.307582,0.562707
28.0000,0.531147,2.712165,0.494558,0.467981,1.322702,0.559240
29.0000,0.528269,2.725119,0.501558,0.470806,1.336666,0.556051
30.0000,0.525681,2.736872,0.508112,0.473357,1.349557,0.553120
31.0000,0.523348,2.747552,0.514244,0.475662,1.361451,0.550428
32.0000,0.521241,2.757270,0.519979,0.477743,1.372422,0.547958
33.0000,0.519335,2.766124,0.525341,0.479623,1.382537,0.545693
34.0000,0.517606,2.774200,0.530351,0.481321,1.391860,0.543616
35.0000,0.516037,2.781575,0.535032,0.482854,1.400448,0.541714
36.0000,0.514611,2.788317,0.539403,0.484238,1.408358,0.539971
37.0000,0.513312,2.794485,0.543483,0.485488,1.415641,0.538376
38.0000,0.512129,2.800133,0.547290,0.486617,1.422343,0.536917
39.0000,0.511049,2.805308,0.550842,0.487636,1.428510,0.535582
40.0000,0.510063,2.810055,0.554155,0.488556,1.434182,0.534361
41.0000,0.509162,2.814410,0.557244,0.489386,1.439397,0.533245
42.0000,0.508338,2.818409,0.560123,0.490136,1.444191,0.532226
43.0000,0.507583,2.822082,0.562807,0.490813,1.448596,0.531294
44.0000,0.506892,2.825458,0.565307,0.491423,1.452644,0.530444
45.0000,0.506259,2.828562,0.567635,0.491974,1.456361,0.529667
46.0000,0.505678,2.831417,0.569804,0.492472,1.459775,0.528958
47.0000,0.505145,2.834044,0.571822,0.492920,1.462908,0.528312
48.0000,0.504656,2.836462,0.573702,0.493325,1.465784,0.527722
49.0000,0.504206,2.838688,0.575451,0.493691,1.468423,0.527185
50.0000,0.503794,2.840738,0.577078,0.494020,1.470844,0.526695
51.0000,0.503414,2.842627,0.578592,0.494318,1.473064,0.526249
52.0000,0.503066,2.844367,0.580000,0.494586,1.475100,0.525842
53.0000,0.502745,2.845970,0.581309,0.494828,1.476966,0.525472
54.0000,0.502450,2.847448,0.582527,0.495046,1.478676,0.525136
55.0000,0.502178,2.848811,0.583658,0.495242,1.480244,0.524829
56.0000,0.501929,2.850067,0.584710,0.495420,1.481680,0.524551
57.0000,0.501699,2.851225,0.585688,0.495580,1.482995,0.524297
58.0000,0.501487,2.852294,0.586596,0.495724,1.484200,0.524067
59.0000,0.501292,2.853279,0.587439,0.495854,1.485303,0.523858
60.0000,0.501113,2.854188,0.588223,0.495971,1.486313,0.523669
61.0000,0.500947,2.855026,0.588951,0.496077,1.487237,0.523497
62.0000,0.500795,2.855800,0.589627,0.496172,1.488083,0.523340
63.0000,0.500655,2.856514,0.590254,0.496257,1.488857,0.523199
64.0000,0.500525,2.857173,0.590837,0.496335,1.489565,0.523070
65.0000,0.500406,2.857780,0.591377,0.496404,1.490213,0.522954
66.0000,0.500296,2.858341,0.591879,0.496467,1.490805,0.522849
67.0000,0.500195,2.858859,0.592344,0.496523,1.491346,0.522754
68.0000,0.500102,2.859337,0.592776,0.496574,1.491842,0.522667
69.0000,0.500016,2.859778,0.593177,0.496620,1.492294,0.522589
70.0000,0.499936,2.860185,0.593549,0.496661,1.492708,0.522519
71.0000,0.499863,2.860560,0.593893,0.496698,1.493086,0.522455
72.0000,0.499796,2.860907,0.594213,0.496732,1.493431,0.522398
73.0000,0.499734,2.861227,0.594510,0.496762,1.493747,0.522346
74.0000,0.499676,2.861523,0.594784,0.496789,1.494035,0.522300
75.0000,0.499623,2.861795,0.595039,0.496813,1.494298,0.522258
76.0000,0.499575,2.862047,0.595275,0.496835,1.494539,0.522220
77.0000,0.499530,2.862280,0.595494,0.496855,1.494758,0.522186
78.0000,0.499488,2.862494,0.595697,0.496872,1.494959,0.522155
79.0000,0.499450,2.862692,0.595885,0.496888,1.495142,0.522128
80.0000,0.499415,2.862875,0.596059,0.496903,1.495308,0.522103
81.0000,0.499382,2.863044,0.596221,0.496915,1.495461,0.522081
82.0000,0.499352,2.863200,0.596370,0.496927,1.495600,0.522061
83.0000,0.499324,2.863344,0.596509,0.496937,1.495727,0.522043
84.0000,0.499299,2.863477,0.596637,0.496947,1.495842,0.522027
85.0000,0.499275,2.863599,0.596756,0.496955,1.495948,0.522013
86.0000,0.499253,2.863712,0.596866,0.496963,1.496044,0.522000
87.0000,0.499233,2.863817,0.596968,0.496969,1.496132,0.521989
88.0000,0.499215,2.863913,0.597062,0.496975,1.496212,0.521979
89.0000,0.499198,2.864003,0.597150,0.496981,1.496285,0.521970
90.0000,0.499182,2.864085,0.597231,0.496986,1.496351,0.521962
91.0000,0.499167,2.864161,0.597306,0.496990,1.496412,0.521954
92.0000,0.499154,2.864231,0.597375,0.496994,1.496467,0.521948
93.0000,0.499142,2.864296,0.597439,0.496998,1.496517,0.521943
94.0000,0.499130,2.864355,0.597499,0.497001,1.496563,0.521938
95.0000,0.499120,2.864410,0.597554,0.497003,1.496605,0.521933
96.0000,0.499110,2.864461,0.597604,0.497006,1.496643,0.521929
97.0000,0.499101,2.864508,0.597652,0.497008,1.496678,0.521926
98.0000,0.499093,2.864552,0.597695,0.497010,1.496709,0.521923
99.0000,0.499085,2.864592,0.597735,0.497012,1.496738,0.521921
100.0000,0.499078,2.864629,0.597773,0.497014,1.496764,0.521918
