case,case_name,h,t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
1,Base Case,0.1,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,Base Case,0.1,5.0,1.1827,1.3592,0.1625,0.1967,0.4386,0.5995
1,Base Case,0.1,10.0,0.7753,1.9395,0.2636,0.3158,0.7642,0.6736
1,Base Case,0.1,15.0,0.6314,2.3261,0.3506,0.3878,0.9977,0.6326
1,Base Case,0.1,20.0,0.5715,2.5423,0.4192,0.4313,1.1612,0.5964
1,Base Case,0.1,25.0,0.5420,2.6645,0.4706,0.4576,1.2735,0.5706
1,Base Case,0.1,30.0,0.5257,2.7369,0.5081,0.4734,1.3496,0.5531
1,Base Case,0.1,40.0,0.5101,2.8101,0.5542,0.4886,1.4342,0.5344
1,Base Case,0.1,50.0,0.5038,2.8407,0.5771,0.4940,1.4708,0.5267
1,Base Case,0.1,60.0,0.5011,2.8542,0.5882,0.4960,1.4863,0.5237
1,Base Case,0.1,75.0,0.4996,2.8618,0.5950,0.4968,1.4943,0.5223
1,Base Case,0.1,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219
1,Base Case,0.01,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,Base Case,0.01,5.0,1.1827,1.3592,0.1625,0.1967,0.4386,0.5995
1,Base Case,0.01,10.0,0.7753,1.9395,0.2636,0.3158,0.7642,0.6736
1,Base Case,0.01,15.0,0.6314,2.3261,0.3506,0.3878,0.9977,0.6326
1,Base Case,0.01,20.0,0.5715,2.5423,0.4192,0.4313,1.1612,0.5964
1,Base Case,0.01,25.0,0.5420,2.6645,0.4706,0.4576,1.2735,0.5706
1,Base Case,0.01,30.0,0.5257,2.7369,0.5081,0.4734,1.3496,0.5531
1,Base Case,0.01,40.0,0.5101,2.8101,0.5542,0.4886,1.4342,0.5344
1,Base Case,0.01,50.0,0.5038,2.8407,0.5771,0.4940,1.4708,0.5267
1,Base Case,0.01,60.0,0.5011,2.8542,0.5882,0.4960,1.4863,0.5237
1,Base Case,0.01,75.0,0.4996,2.8618,0.5950,0.4968,1.4943,0.5223
1,Base Case,0.01,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219
2,All-Zero ICs,0.1,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,All-Zero ICs,0.1,5.0,0.9553,1.6485,0.1867,0.1967,0.4386,0.7653
2,All-Zero ICs,0.1,10.0,0.7207,2.0807,0.2901,0.3158,0.7642,0.7531
2,All-Zero ICs,0.1,15.0,0.6153,2.3860,0.3707,0.3878,0.9977,0.6561
2,All-Zero ICs,0.1,20.0,0.5654,2.5691,0.4332,0.4313,1.1612,0.6045
2,All-Zero ICs,0.1,25.0,0.5392,2.6779,0.4800,0.4575,1.2735,0.5740
2,All-Zero ICs,0.1,30.0,0.5242,2.7443,0.5144,0.4733,1.3495,0.5548
2,All-Zero ICs,0.1,40.0,0.5095,2.8128,0.5569,0.4885,1.4341,0.5350
2,All-Zero ICs,0.1,50.0,0.5036,2.8419,0.5783,0.4940,1.4708,0.5269
2,All-Zero ICs,0.1,60.0,0.5010,2.8547,0.5888,0.4960,1.4863,0.5238
2,All-Zero ICs,0.1,75.0,0.4996,2.8619,0.5952,0.4968,1.4943,0.5223
2,All-Zero ICs,0.1,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219
2,All-Zero ICs,0.01,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,All-Zero ICs,0.01,5.0,0.9553,1.6485,0.1867,0.1967,0.4386,0.7653
2,All-Zero ICs,0.01,10.0,0.7207,2.0807,0.2901,0.3158,0.7642,0.7531
2,All-Zero ICs,0.01,15.0,0.6153,2.3860,0.3707,0.3878,0.9977,0.6561
2,All-Zero ICs,0.01,20.0,0.5654,2.5691,0.4332,0.4313,1.1612,0.6045
2,All-Zero ICs,0.01,25.0,0.5392,2.6779,0.4800,0.4575,1.2735,0.5740
2,All-Zero ICs,0.01,30.0,0.5242,2.7443,0.5144,0.4733,1.3495,0.5548
2,All-Zero ICs,0.01,40.0,0.5095,2.8128,0.5569,0.4885,1.4341,0.5350
2,All-Zero ICs,0.01,50.0,0.5036,2.8419,0.5783,0.4940,1.4708,0.5269
2,All-Zero ICs,0.01,60.0,0.5010,2.8547,0.5888,0.4960,1.4863,0.5238
2,All-Zero ICs,0.01,75.0,0.4996,2.8619,0.5952,0.4968,1.4943,0.5223
2,All-Zero ICs,0.01,100.0,0.4991,2.8646,0.5978,0.4970,1.4968,0.5219
3,Exp a12,0.1,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,Exp a12,0.1,5.0,1.1827,1.3592,0.1625,0.1967,0.3484,0.6416
3,Exp a12,0.1,10.0,0.7753,1.9395,0.2636,0.3158,0.4999,0.8922
3,Exp a12,0.1,15.0,0.6314,2.3261,0.3506,0.3878,0.5556,1.0145
3,Exp a12,0.1,20.0,0.5715,2.5423,0.4192,0.4313,0.5672,1.1023
3,Exp a12,0.1,25.0,0.5420,2.6645,0.4706,0.4576,0.5608,1.1742
3,Exp a12,0.1,30.0,0.5257,2.7369,0.5081,0.4734,0.5487,1.2352
3,Exp a12,0.1,40.0,0.5101,2.8101,0.5542,0.4886,0.5258,1.3271
3,Exp a12,0.1,50.0,0.5038,2.8407,0.5771,0.4940,0.5113,1.3829
3,Exp a12,0.1,60.0,0.5011,2.8542,0.5882,0.4960,0.5037,1.4128
3,Exp a12,0.1,75.0,0.4996,2.8618,0.5950,0.4968,0.4990,1.4317
3,Exp a12,0.1,100.0,0.4991,2.8646,0.5978,0.4970,0.4973,1.4390
3,Exp a12,0.01,0.0,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,Exp a12,0.01,5.0,1.1827,1.3592,0.1625,0.1967,0.3484,0.6416
3,Exp a12,0.01,10.0,0.7753,1.9395,0.2636,0.3158,0.4999,0.8922
3,Exp a12,0.01,15.0,0.6314,2.3261,0.3506,0.3878,0.5556,1.0145
3,Exp a12,0.01,20.0,0.5715,2.5423,0.4192,0.4313,0.5672,1.1023
3,Exp a12,0.01,25.0,0.5420,2.6645,0.4706,0.4576,0.5608,1.1742
3,Exp a12,0.01,30.0,0.5257,2.7369,0.5081,0.4734,0.5487,1.2352
3,Exp a12,0.01,40.0,0.5101,2.8101,0.5542,0.4886,0.5258,1.3271
3,Exp a12,0.01,50.0,0.5038,2.8407,0.5771,0.4940,0.5113,1.3829
3,Exp a12,0.01,60.0,0.5011,2.8542,0.5882,0.4960,0.5037,1.4128
3,Exp a12,0.01,75.0,0.4996,2.8618,0.5950,0.4968,0.4990,1.4317
